"Control Record Model for: "	Prospect Campaign Management
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Performance Assessment Instance Record	""	""	""
"BQ"	BQ Performance Assessment Instance Record	Performance Assessment Work Task Type	"The type of work task (e.g. track competitor activity, track customer behaviors)"	String
"BQ"	BQ Performance Assessment Instance Record	Performance Assessment Work Task	"The make-up of the market tracking task performed, includes consolidation and analysis of market research to reach specific insights"	String
"BQ"	BQ Performance Assessment Instance Record	Performance Assessment Work Task Work Products	"File of consolidated notes, evaluations and findings for the work task"	String
"BQ"	BQ Performance Assessment Instance Record	Performance Assessment Work Task Result	"Details of the outcome or result of the work task - indication of the need to amend, redirect and/or expand prospect campaign activity"	String
"BQ"	BQ Performance Assessment Instance Record	Performance Assessment Work Task Date-Time	"The date-time the performance assessment task is performed"	Date
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	""	""	""
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Portfolio	"The collection/portfolio of available prospect campaigns. The details are used to assess performance and coverage and direct development and execution activity"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Type	"The type or category of prospect campaign (e.g. mailshot, targeted solicitation, discounted product incentive)"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Description	"A description of the campaign that clarifies the intended context/use of the campaign, the mechanisms employed and the intended/anticipated response/impact"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Metrics	"Metrics that are defined to assess the target and actual impact of the campaign"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Metric Definition	"A description of the metric, defining how it is to be measured in deployment"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Metric Goal	"A description of the target performance for the metric that can be defined for different usage scenarios as appropriate"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Performance Record	"Maintains a record of the use and impact of prospect campaign versions over the life of the campaign"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Procedure Instance Reference	"Reference to the prospect campaign execution event"	Object
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Employee/Business Unit Reference	"Reference to the business unit responsible for the campaign execution"	Object
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Procedure Set-up	"Details of the deployment set-up/configuration of the campaign for reference"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Procedure Version Number	"The prospect campaign version number used in the event"	String
"CR"	CR Prospect Campaign Portfolio Management Plan Instance Record	Prospect Campaign Procedure Result	"The result/impact of the overall prospect campaign event (that can include multiple identified prospects)"	String
"BQ"	BQ Market Tracking Instance Record	""	""	""
"BQ"	BQ Market Tracking Instance Record	Market Tracking Work Task Type	"The type of work task (e.g. track competitor activity, track customer behaviors)"	String
"BQ"	BQ Market Tracking Instance Record	Market Tracking Work Task	"The make-up of the market tracking task performed, includes consolidation and analysis of market research to reach specific insights"	String
"BQ"	BQ Market Tracking Instance Record	General Market Research Directory Entry Instance Reference	"Reference to an internally maintained market research viewpoint"	Object
"BQ"	BQ Market Tracking Instance Record	Competitor Analysis Instance Reference	"Reference to an internally maintained competitor analysis viewpoint"	Object
"BQ"	BQ Market Tracking Instance Record	Customer Survey Procedure Instance Reference	"Reference to internally maintained customer survey materials"	Object
"BQ"	BQ Market Tracking Instance Record	Market Tracking Work Task Work Products	"File of consolidated notes, evaluations and findings for the market tracking work task"	String
"BQ"	BQ Market Tracking Instance Record	Market Tracking Work Task Result	"Details of the outcome or result of the work task - typically points of view drawn from the market research, competitor research and customer surveys"	String
"BQ"	BQ Market Tracking Instance Record	Market Tracking Work Task Date-Time	"The date-time the market tracking task is performed"	Date
"BQ"	BQ Campaign Direction Instance Record	""	""	""
"BQ"	BQ Campaign Direction Instance Record	Prospect Campaign Development Schedule	"Schedule of planned and actual prospect campaign design development and refinement activity"	String
"BQ"	BQ Campaign Direction Instance Record	Prospect Campaign Execution Schedule	"Schedule of planned and actual prospect campaign execution activities"	String
