"Control Record Model for: "	eBranch Management
"Record Type"	"Instance Record"	"Attribute"	"Description"	"Data Type"
"BQ"	BQ Troubleshooting Instance Record	""	""	""
"BQ"	BQ Troubleshooting Instance Record	eBranch Channel Production Issue Record	"A record of any production issues arising during the session (see E-Branch Operations for detailed content)"	String
"BQ"	BQ Troubleshooting Instance Record	eBranch Channel Issue Analysis And Recommended Response	"A record of the root cause analysis for recurring issues and suggested remedial action"	String
"CR"	CR eBranch Channel Management Plan Instance Record	""	""	""
"CR"	CR eBranch Channel Management Plan Instance Record	eBranch Channel Management Plan Period	"The time period addressed by the management plan"	String
"CR"	CR eBranch Channel Management Plan Instance Record	eBranch Channel Usage Policies And Guidelines	"The channel policies and guidelines for service users"	String
"CR"	CR eBranch Channel Management Plan Instance Record	eBranch Channel Service Operating Parameters	"The default channel service configuration (Note this can be updated during operations with service calls to the channel operations service domain)"	String
"CR"	CR eBranch Channel Management Plan Instance Record	eBranch Channel Service Performance Goals	"The target and actual service performance goals that are tracked by channel management"	String
"CR"	CR eBranch Channel Management Plan Instance Record	eBranch Channel Service Schedule	"The target and actual channel service schedule - recording planned and actual service availability and outages (includes any partial service access constraints or restrictions for a 24/7 service)"	String
"BQ"	BQ Capacity Planning Instance Record	""	""	""
"BQ"	BQ Capacity Planning Instance Record	eBranch Channel Platform Utilization	"Record of the channel resource utilization and loading"	String
"BQ"	BQ Capacity Planning Instance Record	eBranch Channel Loading Projections	"Estimated projected resource utilization and loading based on historical patterns and anticipated activity - used to identify the need for capacity upgrades"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	""	""	""
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Schedule	"Planned platform maintenance and upgrade tasks (includes release and capacity upgrades)"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Work Task Type	"The type of work task (e.g. scheduled maintenance, version release, platform upgrade)"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Work Task	"The make-up of the channel platform task performed, includes work plan, assignments, effort/expenditures and deliverables as appropriate"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Work Task Work Products	"File of consolidated work notes, testing results, agreements etc. for the work task"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Work Task Result	"Details of the outcome or result of the work task (e.g. new version number installed, capacity upgrade in production)"	String
"BQ"	BQ Maintenance And Upgrades Instance Record	eBranch Channel Maintenance and Upgrade Work Task Date-Time	"The key date-times associated with the work task (e.g. cutover date)"	Date
